Date,Quantity Sold,City,Probability of Precipitation,Temperature,Festival,Price
2013-12-01,76,Hamilton,0.18,-5,0,8
2013-12-02,53,Toronto,0.73,3,0,10
2013-12-03,73,London,0.47,0,0,8
2013-12-04,70,London,0.4,-1,0,9
2013-12-05,7,Toronto,0.89,0,0,10
2013-12-06,37,London,0.77,-3,0,6
2013-12-07,38,Waterloo,0.62,-3,0,8
2013-12-08,8,Hamilton,0.85,2,0,10
2013-12-09,48,London,0.01,-1,0,6
2013-12-10,35,Hamilton,0.71,-4,0,8
2013-12-11,11,Hamilton,0.67,0,0,10
2013-12-12,14,Hamilton,0.96,1,0,7
2013-12-13,88,London,0.39,2,0,7
2013-12-14,77,London,0.49,-5,0,8
2013-12-15,63,London,0.42,-5,0,7
2013-12-16,2,Hamilton,0.99,-4,0,8
2013-12-17,82,Toronto,0.24,2,0,6
2013-12-18,54,Waterloo,0.63,-5,0,8
2013-12-19,19,Hamilton,0.9,3,0,6
2013-12-20,59,Hamilton,0,-4,0,9
2013-12-21,77,London,0.51,-2,0,6
2013-12-22,59,Toronto,0.61,-1,0,8
2013-12-23,55,Hamilton,0.45,-2,0,6
2013-12-24,82,Toronto,0.33,-1,0,7
2013-12-25,2,Waterloo,0.92,1,0,9
2013-12-26,76,Toronto,0.27,-1,0,8
2013-12-27,45,Toronto,0.59,3,0,9
2013-12-28,36,Waterloo,0.67,-1,0,7
2013-12-29,87,Toronto,0.78,-4,0,7
2013-12-30,70,London,0.39,2,0,6
2013-12-31,24,London,0.72,2,0,10
2014-01-01,55,Hamilton,0.82,-7,0,6
2014-01-02,28,Waterloo,0.59,-5,0,8
2014-01-03,57,Hamilton,0.34,-6,0,8
2014-01-04,23,Toronto,0.9,0,0,9
2014-01-05,105,London,0.52,-9,0,10
2014-01-06,69,London,0.44,-7,0,9
2014-01-07,96,London,0.42,-10,0,6
2014-01-08,32,Hamilton,0.94,0,0,9
2014-01-09,68,Hamilton,0.09,-5,0,10
2014-01-10,60,London,0.24,-10,0,10
2014-01-11,88,Toronto,0.53,-9,0,6
2014-01-12,37,Waterloo,0.54,-1,0,7
2014-01-13,53,London,0.36,-10,0,9
2014-01-14,19,Waterloo,0.95,-3,0,6
2014-01-15,6,Waterloo,0.44,0,0,8
2014-01-16,73,London,0.19,-4,0,8
2014-01-17,61,Waterloo,0.03,0,0,10
2014-01-18,38,Hamilton,0.49,-10,0,6
2014-01-19,85,Toronto,0.28,-9,0,8
2014-01-20,30,London,0.16,-5,0,10
2014-01-21,46,Toronto,0.62,-5,0,10
2014-01-22,66,Waterloo,0.53,-1,0,8
2014-01-23,64,Hamilton,0.46,-7,0,6
2014-01-24,28,Hamilton,0.35,-7,0,6
2014-01-25,63,London,0.47,-7,0,10
2014-01-26,14,Hamilton,0.77,-7,0,10
2014-01-27,25,Hamilton,0.88,-6,0,9
2014-01-28,83,Toronto,0.31,-4,0,6
2014-01-29,57,London,0.3,-3,0,6
2014-01-30,45,Waterloo,0.5,0,0,6
2014-01-31,42,London,0.11,-10,0,7
2014-02-01,18,Hamilton,1,1,0,7
2014-02-02,68,Toronto,0.21,-4,0,8
2014-02-03,76,Hamilton,0.8,-3,0,9
2014-02-04,57,Waterloo,0.61,1,0,9
2014-02-05,40,London,0.71,1,0,6
2014-02-06,23,Toronto,0.85,-7,0,6
2014-02-07,48,Hamilton,0.87,-6,0,6
2014-02-08,42,London,0.25,-7,0,9
2014-02-09,67,Hamilton,0.06,0,0,9
2014-02-10,43,London,0.45,-5,0,8
2014-02-11,75,London,0.59,0,0,8
2014-02-12,8,Waterloo,0.78,-4,0,10
2014-02-13,68,London,0.4,-5,0,9
2014-02-14,51,Toronto,0.68,-1,0,10
2014-02-15,11,Hamilton,0.7,-1,0,10
2014-02-16,44,Hamilton,0.58,-3,0,8
2014-02-17,42,Toronto,0.45,-5,0,6
2014-02-18,75,Toronto,0.38,0,0,7
2014-02-19,10,Waterloo,0.48,-4,0,10
2014-02-20,54,Waterloo,0.66,-4,0,7
2014-02-21,97,London,0.02,-2,0,10
2014-02-22,13,Hamilton,0.74,-4,0,10
2014-02-23,87,Toronto,0.38,-4,0,6
2014-02-24,38,Hamilton,0.5,-1,0,10
2014-02-25,52,Waterloo,0.46,-7,0,7
2014-02-26,91,London,0.59,-3,0,7
2014-02-27,60,Hamilton,0.11,-1,0,10
2014-02-28,41,Waterloo,0.65,1,0,6
2014-03-01,50,Hamilton,0.37,2,0,6
2014-03-02,8,Hamilton,0.91,5,0,6
2014-03-03,53,London,0.76,2,0,8
2014-03-04,16,Hamilton,0.33,4,0,7
2014-03-05,52,Toronto,0.85,4,0,10
2014-03-06,43,Hamilton,0.09,2,0,9
2014-03-07,11,Waterloo,0.95,-2,0,6
2014-03-08,81,Hamilton,0.07,0,0,9
2014-03-09,51,Toronto,0.76,-1,0,6
2014-03-10,30,Waterloo,0.68,-2,0,7
2014-03-11,55,Toronto,0.36,1,0,6
2014-03-12,29,Hamilton,0.35,4,0,7
2014-03-13,8,Waterloo,0.64,-2,0,10
2014-03-14,67,Hamilton,0.18,5,0,7
2014-03-15,73,Toronto,0.94,-2,0,9
2014-03-16,85,London,0.67,0,0,9
2014-03-17,34,Toronto,0.75,0,0,8
2014-03-18,33,Hamilton,0.69,0,0,8
2014-03-19,90,London,0.44,2,0,9
2014-03-20,7,Hamilton,0.8,3,0,10
2014-03-21,35,Hamilton,0.75,-3,0,6
2014-03-22,85,London,0,5,0,8
2014-03-23,48,Toronto,0.65,-3,0,8
2014-03-24,53,London,0.61,0,0,9
2014-03-25,70,London,0.77,0,0,10
2014-03-26,32,Toronto,0.53,-1,0,10
2014-03-27,48,Toronto,0.28,2,0,6
2014-03-28,34,Waterloo,0.69,0,0,10
2014-03-29,25,Hamilton,0.34,3,0,10
2014-03-30,39,Hamilton,0.55,0,0,8
2014-03-31,26,Waterloo,0.03,0,0,7
2014-04-01,20,London,0.45,4,0,6
2014-04-02,53,Hamilton,0.83,7,0,6
2014-04-03,28,Waterloo,0.59,6,0,10
2014-04-04,30,Waterloo,0.02,7,0,10
2014-04-05,75,Hamilton,0,10,0,9
2014-04-06,48,Toronto,0.57,5,0,7
2014-04-07,60,Hamilton,0.36,8,0,9
2014-04-08,50,Hamilton,0.63,5,0,9
2014-04-09,75,Hamilton,0.68,10,0,7
2014-04-10,90,Toronto,0.63,8,0,7
2014-04-11,40,Waterloo,0.63,8,0,10
2014-04-12,75,London,0.57,8,0,8
2014-04-13,50,Toronto,0.81,6,0,8
2014-04-14,70,Hamilton,0.41,7,0,6
2014-04-15,85,Toronto,0.78,8,0,7
2014-04-16,85,Toronto,0.28,9,0,9
2014-04-17,45,London,0.21,5,0,8
2014-04-18,35,Hamilton,0.21,9,0,9
2014-04-19,20,Hamilton,0.88,6,0,8
2014-04-20,3,Waterloo,0.63,7,0,10
2014-04-21,24,London,0.46,4,0,9
2014-04-22,2,Hamilton,0.75,7,0,6
2014-04-23,1,Waterloo,0.46,5,0,10
2014-04-24,5,Hamilton,0.84,10,0,9
2014-04-25,100,Toronto,0.63,6,0,7
2014-04-26,98,London,0.07,9,0,8
2014-04-27,10,Toronto,0.86,4,0,6
2014-04-28,26,London,0.73,7,0,7
2014-04-29,5,Hamilton,0.93,10,0,6
2014-04-30,20,London,0.54,4,0,10
2014-05-01,19,Waterloo,0.13,12,0,9
2014-05-02,55,Toronto,0.89,10,0,9
2014-05-03,70,London,0.78,10,0,7
2014-05-04,2,Hamilton,0.78,10,1,6
2014-05-05,45,Toronto,0.49,16,1,7
2014-05-06,45,London,0.33,14,0,7
2014-05-07,39,Toronto,0.68,17,0,7
2014-05-08,92,Toronto,0.24,11,0,7
2014-05-09,35,Hamilton,0.81,18,1,8
2014-05-10,70,Hamilton,0.61,9,0,8
2014-05-11,60,Waterloo,0.26,13,0,9
2014-05-12,15,Hamilton,0.86,8,0,8
2014-05-13,12,Hamilton,0.64,11,0,8
2014-05-14,48,Hamilton,0.08,11,0,6
2014-05-15,65,Waterloo,0.62,10,1,8
2014-05-16,55,Hamilton,0.43,14,0,7
2014-05-17,125,Hamilton,0.75,9,1,8
2014-05-18,60,London,0.52,13,0,8
2014-05-19,36,Waterloo,0.54,9,0,9
2014-05-20,55,Toronto,0.46,15,0,8
2014-05-21,45,London,0.45,11,0,8
2014-05-22,35,Waterloo,0.99,11,1,9
2014-05-23,135,Waterloo,0.04,16,1,7
2014-05-24,85,London,0.66,10,0,7
2014-05-25,81,Hamilton,0.17,10,0,10
2014-05-26,25,Toronto,0.72,8,0,7
2014-05-27,80,Toronto,0.77,12,0,7
2014-05-28,42,London,0.24,11,0,9
2014-05-29,49,Hamilton,0.77,15,0,10
2014-05-30,100,Waterloo,0.52,14,1,7
2014-05-31,77,Hamilton,0.67,18,0,10
2014-06-01,115,Waterloo,0.54,23,1,8
2014-06-02,42,Hamilton,0.07,19,0,9
2014-06-03,35,Waterloo,0.7,22,1,6
2014-06-04,85,Toronto,0.5,15,0,8
2014-06-05,40,Hamilton,0.24,15,0,6
2014-06-06,25,Hamilton,0.77,18,0,8
2014-06-07,77,Toronto,0.71,22,0,8
2014-06-08,80,London,0.41,19,0,10
2014-06-09,125,Toronto,0.51,22,1,8
2014-06-10,130,London,0.39,17,1,9
2014-06-11,70,London,0.14,21,0,9
2014-06-12,69,London,0.53,21,0,6
2014-06-13,105,Waterloo,0.44,22,1,6
2014-06-14,100,Toronto,0.81,17,0,8
2014-06-15,87,London,0.06,21,0,9
2014-06-16,18,London,0.5,16,1,6
2014-06-17,64,Waterloo,0.64,17,0,8
2014-06-18,10,Waterloo,0.54,17,0,10
2014-06-19,33,Waterloo,0.65,20,0,8
2014-06-20,91,Toronto,0.49,20,0,10
2014-06-21,120,Hamilton,0.52,17,1,9
2014-06-22,55,London,0.55,15,0,7
2014-06-23,25,Toronto,0.99,22,0,10
2014-06-24,45,London,0.75,15,0,7
2014-06-25,35,Toronto,0.86,20,0,8
2014-06-26,30,Waterloo,0.66,20,0,6
2014-06-27,45,Hamilton,0.63,15,0,6
2014-06-28,75,London,0.66,20,0,9
2014-06-29,40,Hamilton,0.45,15,0,8
2014-06-30,40,London,0.46,15,0,9
2014-07-01,45,Toronto,0.56,20,0,7
2014-07-02,55,Hamilton,0.21,21,0,7
2014-07-03,60,London,0.16,25,0,10
2014-07-04,65,Hamilton,0.16,20,0,7
2014-07-05,100,Hamilton,0.21,24,1,10
2014-07-06,130,Toronto,0.27,27,1,9
2014-07-07,90,London,0.46,26,1,7
2014-07-08,60,Hamilton,0.13,26,0,6
2014-07-09,45,Toronto,0.21,23,0,8
2014-07-10,40,London,0.1,24,0,9
2014-07-11,60,Toronto,0.96,22,0,10
2014-07-12,70,Toronto,0.64,22,0,10
2014-07-13,45,Waterloo,0.3,22,0,10
2014-07-14,50,London,0.31,22,0,8
2014-07-15,90,Toronto,0.45,19,1,6
2014-07-16,23,Waterloo,0.31,24,0,8
2014-07-17,85,London,0.72,20,1,10
2014-07-18,35,Toronto,0.96,21,0,10
2014-07-19,40,London,0.8,19,0,8
2014-07-20,30,London,0.3,23,0,10
2014-07-21,97,London,0.08,21,1,6
2014-07-22,10,Waterloo,0.94,26,0,8
2014-07-23,60,Waterloo,0.9,19,1,8
2014-07-24,85,London,0.38,27,1,10
2014-07-25,40,Hamilton,0.6,27,0,9
2014-07-26,72,Toronto,0.62,22,0,7
2014-07-27,78,Hamilton,0.77,21,1,8
2014-07-28,54,Toronto,0.85,18,0,8
2014-07-29,75,Toronto,0.2,21,1,9
2014-07-30,38,Hamilton,0.93,23,0,7
2014-07-31,57,Toronto,0.64,27,0,8
2014-08-01,51,Hamilton,0.45,25,0,8
2014-08-02,48,Waterloo,0.18,24,0,6
2014-08-03,60,Toronto,0.71,23,0,9
2014-08-04,66,London,0.4,23,0,10
2014-08-05,82,London,0.61,20,1,6
2014-08-06,34,London,0.29,26,0,10
2014-08-07,46,Hamilton,0.4,19,0,8
2014-08-08,64,Toronto,0.78,21,0,6
2014-08-09,47,Waterloo,0,18,0,8
2014-08-10,16,Waterloo,0.21,25,0,10
2014-08-11,48,Toronto,0.81,25,0,8
2014-08-12,64,Hamilton,0.66,24,1,6
2014-08-13,61,London,0.46,22,0,6
2014-08-14,53,London,0.26,20,0,7
2014-08-15,24,Waterloo,0.52,20,0,10
2014-08-16,57,London,0.68,24,0,8
2014-08-17,86,Toronto,0.22,26,1,7
2014-08-18,4,Waterloo,0.83,26,0,9
2014-08-19,31,Waterloo,0.66,24,1,9
2014-08-20,48,London,0,26,0,8
2014-08-21,45,Toronto,0.29,19,0,10
2014-08-22,51,London,0.47,19,0,7
2014-08-23,53,Hamilton,0.67,25,1,9
2014-08-24,41,Hamilton,0.21,24,0,8
2014-08-25,4,Hamilton,0.5,23,0,10
2014-08-26,2,Hamilton,0.71,17,0,9
2014-08-27,6,Hamilton,0.76,25,0,9
2014-08-28,47,London,0.08,19,0,10
2014-08-29,52,Waterloo,0.2,24,1,6
2014-08-30,36,Hamilton,0.66,24,0,6
2014-08-31,29,Hamilton,0.23,21,0,7
2014-09-01,37,London,0.18,21,0,7
2014-09-02,25,Waterloo,0.01,13,0,6
2014-09-03,33,Toronto,0.29,15,0,10
2014-09-04,46,Toronto,0.51,14,0,7
2014-09-05,61,London,0.67,21,0,6
2014-09-06,35,Hamilton,0.8,20,0,8
2014-09-07,23,Waterloo,1,20,0,6
2014-09-08,43,Toronto,0.46,20,0,8
2014-09-09,36,Toronto,0.93,19,0,9
2014-09-10,6,Waterloo,0.89,18,0,7
2014-09-11,41,Toronto,0.42,17,0,9
2014-09-12,61,London,0.33,19,0,7
2014-09-13,77,London,0.58,14,0,6
2014-09-14,44,Hamilton,0.48,14,0,8
2014-09-15,1,Waterloo,0.88,19,0,10
2014-09-16,3,Hamilton,0.92,20,0,10
2014-09-17,12,Hamilton,0.39,19,0,7
2014-09-18,3,Waterloo,0.46,14,0,10
2014-09-19,27,Hamilton,0.8,17,0,9
2014-09-20,63,London,0.44,17,0,6
2014-09-21,61,Toronto,0.49,17,0,7
2014-09-22,49,Toronto,0.76,21,0,8
2014-09-23,38,Toronto,0.73,17,0,10
2014-09-24,18,Hamilton,0.93,13,0,7
2014-09-25,14,Waterloo,0.16,21,0,6
2014-09-26,9,Waterloo,0.81,17,0,8
2014-09-27,71,Toronto,0.56,15,0,8
2014-09-28,48,Hamilton,0.32,21,0,8
2014-09-29,30,Waterloo,0.02,17,0,9
2014-09-30,62,Toronto,0.43,17,0,7
2014-10-01,21,Hamilton,0.73,12,0,9
2014-10-02,46,Toronto,0.9,10,0,7
2014-10-03,61,London,0.45,13,0,6
2014-10-04,42,Toronto,0.23,14,0,10
2014-10-05,19,Waterloo,0.14,14,0,9
2014-10-06,11,Hamilton,0.36,11,0,10
2014-10-07,39,Toronto,0.93,7,0,8
2014-10-08,46,London,0.38,14,0,8
2014-10-09,42,London,0.5,7,0,8
2014-10-10,27,Waterloo,0.8,9,0,7
2014-10-11,61,London,0.7,8,0,6
2014-10-12,67,Toronto,0.33,11,0,6
2014-10-13,0,Waterloo,0.3,12,0,10
2014-10-14,1,Hamilton,0.03,9,0,10
2014-10-15,44,London,0.79,10,0,6
2014-10-16,39,London,0.74,12,0,8
2014-10-17,23,Hamilton,0.28,13,0,9
2014-10-18,35,Toronto,0.61,12,0,10
2014-10-19,4,Waterloo,0.7,8,0,10
2014-10-20,54,Toronto,0.45,10,0,6
2014-10-21,46,Toronto,0.63,11,0,9
2014-10-22,17,Waterloo,0.27,12,0,6
2014-10-23,30,Hamilton,0.59,9,0,6
2014-10-24,49,London,0.46,8,0,7
2014-10-25,46,Hamilton,0.1,7,0,6
2014-10-26,67,Toronto,0.88,9,0,6
2014-10-27,31,Waterloo,0.17,9,0,6
2014-10-28,59,Toronto,0.54,8,0,6
2014-10-29,46,London,0.22,13,0,9
2014-10-30,41,Toronto,0.98,8,0,8
2014-10-31,20,Waterloo,0.53,13,0,7
2014-11-01,58,London,0.09,8,0,6
2014-11-02,13,Waterloo,0.08,7,0,9
2014-11-03,33,Toronto,0.71,4,0,10
2014-11-04,27,London,0.74,5,0,9
2014-11-05,36,Hamilton,0.56,5,0,7
2014-11-06,25,Waterloo,0.41,8,0,7
2014-11-07,16,Waterloo,0.86,8,0,10
2014-11-08,48,Toronto,0.75,7,0,9
2014-11-09,32,Hamilton,0.7,5,0,9
2014-11-10,22,Hamilton,0.16,2,0,9
2014-11-11,43,London,0.41,5,0,9
2014-11-12,46,London,0.4,2,0,7
2014-11-13,50,London,0.28,7,0,6
2014-11-14,55,London,0.04,6,0,6
2014-11-15,38,London,0.6,2,0,10
2014-11-16,7,Waterloo,0.48,8,0,10
2014-11-17,67,Toronto,0.64,5,0,6
2014-11-18,48,Toronto,0.55,5,0,10
2014-11-19,64,Toronto,0.98,6,0,6
2014-11-20,48,London,0.17,5,0,9
2014-11-21,27,Waterloo,0.26,8,0,9
2014-11-22,61,Toronto,0.97,8,0,9
2014-11-23,63,Toronto,0.68,6,0,9
2014-11-24,52,London,0.49,8,0,6
2014-11-25,71,Toronto,0.37,7,0,6
2014-11-26,53,Toronto,0.67,2,0,8
2014-11-27,46,London,0.76,2,0,6
2014-11-28,42,Waterloo,0.82,5,0,6
2014-11-29,73,Toronto,0.62,5,0,6
2014-11-30,34,Hamilton,0.15,2,0,9
